City,Team,Abb,Year,Final,Games,Loss,Proj,Wins
Atlanta,Hawks,ATL,16-17,43,22,12,43.5,10
Atlanta,Hawks,ATL,17-18,24,23,18,25.5,5
Atlanta,Hawks,ATL,18-19,29,25,20,23.5,5
Atlanta,Hawks,ATL,19-20,,22,17,32.5,5
Boston,Celtics,BOS,16-17,53,21,9,52.5,12
Boston,Celtics,BOS,17-18,55,25,4,54.5,21
Boston,Celtics,BOS,18-19,49,23,10,59,13
Boston,Celtics,BOS,19-20,,20,5,48.5,15
Brooklyn,Nets,BRK,16-17,20,20,15,21.5,5
Brooklyn,Nets,BRK,17-18,28,23,14,28,9
Brooklyn,Nets,BRK,18-19,42,26,18,32.5,8
Brooklyn,Nets,BRK,19-20,,21,10,50.5,11
Charlotte,Hornets,CHO,16-17,36,21,9,42.5,12
Charlotte,Hornets,CHO,17-18,36,22,13,42.5,9
Charlotte,Hornets,CHO,18-19,39,24,13,36,11
Charlotte,Hornets,CHO,19-20,,23,14,32.5,9
Chicago,Bulls,CHI,16-17,41,20,9,39,11
Chicago,Bulls,CHI,17-18,27,22,19,22,3
Chicago,Bulls,CHI,18-19,22,25,20,30,5
Chicago,Bulls,CHI,19-20,,22,14,27.5,8
Cleveland,Cavaliers,CLE,16-17,51,19,5,56.5,14
Cleveland,Cavaliers,CLE,17-18,50,24,7,54.5,17
Cleveland,Cavaliers,CLE,18-19,19,24,19,31.5,5
Cleveland,Cavaliers,CLE,19-20,,20,15,23.5,5
Dallas,Mavericks,DAL,16-17,33,20,16,39.5,4
Dallas,Mavericks,DAL,17-18,24,24,17,34.5,7
Dallas,Mavericks,DAL,18-19,33,23,11,36,12
Dallas,Mavericks,DAL,19-20,,21,6,41.5,15
Denver,Nuggets,DEN,16-17,40,21,13,37,8
Denver,Nuggets,DEN,17-18,46,23,10,45.5,13
Denver,Nuggets,DEN,18-19,54,24,7,48,17
Denver,Nuggets,DEN,19-20,,18,5,50.5,13
Detroit,Pistons,DET,16-17,37,22,11,44.5,11
