City,Team,Abb,Proj_19.20,Final_18.19,Proj_18.19,Final_17.18,Proj_17.18,Final_16.17,Proj_16.17,Wins_19:20,Loss_19:20,Games_19:20,Wins_18:19,Loss_18:19,Games_18:19,Wins_17:18,Loss_17:18,Games_17:18,Wins_16:17,Loss_16:17,Games_16:17
Atlanta,Hawks,ATL,32.5,29,23.5,24,25.5,43,43.5,5,17,22,5,20,25,5,18,23,10,12,22
Boston,Celtics,BOS,48.5,49,59,55,54.5,53,52.5,15,5,20,13,10,23,21,4,25,12,9,21
Brooklyn,Nets,BRK,50.5,42,32.5,28,28,20,21.5,11,10,21,8,18,26,9,14,23,5,15,20
Charlotte,Hornets,CHO,32.5,39,36,36,42.5,36,42.5,9,14,23,11,13,24,9,13,22,12,9,21
Chicago,Bulls,CHI,27.5,22,30,27,22,41,39,8,14,22,5,20,25,3,19,22,11,9,20
Cleveland,Cavaliers,CLE,23.5,19,31.5,50,54.5,51,56.5,5,15,20,5,19,24,17,7,24,14,5,19
Dallas,Mavericks,DAL,41.5,33,36,24,34.5,33,39.5,15,6,21,12,11,23,7,17,24,4,16,20
Denver,Nuggets,DEN,50.5,54,48,46,45.5,40,37,13,5,18,17,7,24,13,10,23,8,13,21
Detroit,Pistons,DET,34.5,41,38.5,39,38.5,37,44.5,8,14,22,13,9,22,14,9,23,11,11,22
Golden State,Warriors,GSW,46.5,57,62,58,67.5,67,66.5,4,19,23,17,9,26,19,6,25,18,3,21
Houston,Rockets,HOU,53.5,53,56.5,65,55.5,55,44,13,7,20,11,12,23,18,4,22,14,7,21
Indiana,Pacers,IND,47.5,48,48,48,31.5,42,44.5,14,7,21,14,10,24,13,11,24,10,11,21
Los Angeles,Clippers,LAC,51.5,48,37.5,42,45,51,53.5,16,6,22,16,8,24,8,14,22,16,6,22
Los Angeles,Lakers,LAL,51.5,37,48,35,32.5,26,24.5,19,3,22,15,9,24,8,15,23,10,13,23
Memphis,Grizzlies,MEM,27.5,33,33.5,22,37.5,43,42.5,6,15,21,14,9,23,8,15,23,14,8,22
Miami,Heat,MIA,34.5,39,43.5,44,44.5,41,34.5,15,6,21,9,14,23,11,12,23,7,13,20
Milwaukee,Bucks,MIL,55.5,60,48.5,44,46.5,42,34.5,19,3,22,16,7,23,12,10,22,10,9,19
Minnesota,Timberwolves,MIN,34.5,36,42,47,48,31,41.5,10,10,20,13,12,25,14,11,25,6,14,20
New Orleans,Pelicans,NOP,31.5,33,45,48,39.5,34,36.5,6,15,21,13,13,26,12,12,24,7,15,22
New York,Knicks,NYK,37.5,17,27.5,29,29.5,31,38.5,4,17,21,8,17,25,11,12,23,11,9,20
Oklahoma City,Thunder,OKC,46.5,49,48.5,48,53.5,47,45,8,12,20,16,7,23,11,12,23,14,8,22
Orlando,Magic,ORL,35.5,42,30.5,25,32.5,29,37.5,10,11,21,12,13,25,10,15,25,9,12,21
Philadelphia,Sixers,PHI,54.5,51,53.5,52,39,28,23.5,15,6,21,17,9,26,13,10,23,4,17,21
Phoenix,Suns,PHO,25.5,19,29,21,29,24,29.5,9,11,20,4,20,24,9,17,26,6,14,20
Portland,Blazers,POR,45.5,53,42.5,49,43.5,41,45.5,9,13,22,13,11,24,13,11,24,12,10,22
Sacramento,Kings,SAC,33.5,39,25.5,27,27.5,32,33.5,8,12,20,12,11,23,7,16,23,7,13,20
San Antonio,Spurs,SAS,44.5,48,42.5,47,54.5,61,57.5,8,14,22,11,14,25,16,8,24,17,4,21
Toronto,Raptors,TOR,53.5,58,56,59,48,51,50.5,15,5,20,21,5,26,15,7,22,14,7,21
Utah,Jazz,UTA,50.5,50,50.5,48,41.5,51,47.5,12,10,22,12,13,25,13,12,25,13,9,22
Washington,Wizards,WAS,28.5,32,46,43,49,49,42.5,6,13,19,11,14,25,13,11,24,7,12,19
